2, 7, 2, 0, 2, 1, 1, 0, 0, 21, 0, -5
4, 16, 4, 2, 0, 1, 1, -5.5, 2, 19, 0, 1
0, 7, 0, 0, 2, 1, 1, -4.0, 0, 18, 0, -7
1, 8, 1, 1, 1, 1, 1, -10.5, 1, 18, 0, -1
2, 2, 2, 1, 1, 1, 1, -12.0, 4, 18, 0, -4
4, 11, 4, 1, 1, 0, 1, -15.5, 4, 17, 0, -5
4, 5, 4, 2, 0, 0, 1, -21.0, 8, 13, 0, -2
1, 11, 1, 1, 1, 1, 1, -22.5, 4, 12, 0, -4
3, 1, 3, 2, 0, 0, 1, -27.0, 2, 12, 0, -2
3, 3, 3, 2, 0, 0, 1, -28.5, 5, 12, 0, -1
4, 1, 4, 2, 0, 0, 1, -30.0, 11, 10, 0, -6
1, 6, 1, 1, 1, 1, 1, -35.5, 7, 9, 0, -1
1, 5, 1, 1, 1, 1, 1, -37.0, 10, 9, 0, -5
4, 13, 4, 2, 0, 0, 1, -41.5, 14, 7, 0, -1
3, 14, 3, 2, 0, 1, 1, -43.0, 8, 6, 1, 11
1, 14, 1, 0, 2, 1, 1, -32.5, 12, 6, 1, -6
0, 9, 0, 2, 0, 1, 1, -38, 4, 5, 0, 1
2, 4, 2, 0, 2, 1, 1, -36.5, 6, 5, 0, -4
3, 11, 3, 2, 0, 1, 1, -41.0, 11, 4, 1, 3
2, 10, 2, 0, 2, 1, 1, -38.5, 8, 4, 0, -2
0, 3, 0, 2, 0, 1, 1, -40, 7, 3, 0, -3
0, 10, 0, 1, 1, 1, 1, -43.5, 9, 3, 0, -5
2, 11, 2, 1, 1, 1, 1, -48, 11, 3, 1, 2
2, 9, 2, 0, 2, 1, 1, -45.5, 12, 3, 1, -5
4, 17, 4, 0, 2, 1, 1, 0, 0, 21, 0, 1
1, 5, 1, 0, 2, 1, 1, 1.5, 0, 18, 0, -1
1, 14, 1, 2, 0, 1, 1, 0.0, 5, 18, 1, 6
4, 8, 4, 0, 2, 1, 1, 5.5, 3, 18, 0, -2
3, 12, 3, 2, 0, 1, 1, 4, 2, 15, 0, 3
0, 9, 0, 0, 2, 1, 1, 7.5, 0, 15, 0, -1
0, 6, 0, 2, 0, 1, 1, 6.0, 5, 15, 0, -6
5, 1, 4, 1, 1, 0, 1, 0.5, 0, 14, 0, 4
4, 18, 4, 2, 0, 1, 1, 4, 10, 11, 0, 1
4, 1, 4, 0, 2, 1, 1, 5.5, 11, 10, 0, -5
2, 14, 2, 2, 0, 1, 1, 0.0, 2, 7, 1, 9
0, 2, 0, 0, 2, 1, 1, 8.5, 6, 7, 0, -5
2, 5, 2, 1, 1, 1, 1, 4, 4, 7, 0, -1
3, 1, 3, 1, 1, 1, 1, 2.5, 4, 7, 0, -3
0, 3, 0, 1, 1, 1, 1, 0, 10, 7, 0, -1
